id,title,description,manufacturer,price,joinKey
b0002mg5uk,iview mediapro 2.5,,global marketing,199.99,"['iview', 'mediapro', '2', '5', 'global', 'marketing']"
b0002jtvng,bias deck le 3.5 macintosh cd,if you want to record music and audio like a pro - but don't feel like breaking the bank - we've got some great news for you: deck 3.5 le!deck 3.5 le turns your mac into a full-fledged recording studio. you can easily record up to 12 tracks with full cd quality. edit your work instantly (while always being able to revert to your original recordings) process your tracks using eq and other built-in digital signal processing and even play back midi files in perfect sync. when you're done recording you can mix it all down using deck 3.5 le's virtual mixing console.deck 3.5 le is everything you need and then some. sure you could always take a few months to learn some other multitrack software or buy a complicated (and expensive) hardware recorder. but no other solution is as easy to use and as fast to learn or is more compatible with so many audio interfaces.,bias,99,"['bias', 'deck', 'le', '3', '5', 'macintosh', 'cd', 'bias']"
b0007lw22g,apple ilife '06 (mac dvd) [older version],ilife '06 is the easiest way to make the most out of every bit of your digital life. use your mac to collect organize and edit the various elements. transform them into mouth-watering masterpieces with apple-designed templates. then share the magic moments in beautiful books colorful calendars dazzling dvds perfect podcasts and attractive online journals. all starring you. now it's easier than ever to edit your photos to perfection. all your photos in one place. iphoto 6 rebuilt for blazing performance iphoto makes sharing photos faster simpler and cooler than ever before. it also adds eye-opening features to the ones you already love including photocasting support for up to 250 000 photos easy publishing to the web special effects and new custom cards and calendars. so you can spread those smiles far and wide. a lifetime of photos at your fingertips -- your life is is one big photo opportunity -- which explains why your photo library is getting bigger every day. well good news: iphoto now supports up to 250 000 images. that means you can confidently shoot over a thousand photos per week for the next 20 years. (better get cracking.) navigating your larger library is a breeze now too. as you move the scroll bar a new see-through scroll guide appears to show you what photos or rolls are currently displayed. photocasting: a fantastic new way to share -- imagine sending an album of favorite photos to the family and having it change automatically on their computers when you update it on yours. that's what photocasting is all about. and it's amazingly easy. just create a photocast album in iphoto and publish it to .mac (password-protected if you wish). when cousin cindy subscribes she'll see it in her iphoto library just as you see it in yours -- with full-resolution photos that can be used for desktop pictures printed albums cards and calendars. and whenever you add or subtract to your photocast album it will change in hers. even people with pcs can enjoy an iphoto photocast because all it takes is an rss news reader to subscribe. dazzle with calendars greeting cards and books -- send a beautiful printed book of special photos to a friend. put your kid's happy face on the cover of a custom card to announce a birthday party. create a stylized personalized calendar that rivals the ones you see at your local mall. make all those things -- and many many more -- with typical iphoto ease. just choose a photo album click an apple-designed template and let iphoto work its magic. add captions fine-tune your layout then click to order -- your professionally printed masterwork is delivered right to your door. the website of your life -- it's one thing to share photos on the internet. it's something else to share them on a wonderfully designed personal website. thanks to the newest member of the ilife family -- iweb -- you can create a beautiful new photo page on your website in just minutes. heck if you can type those clever captions quickly enough maybe even seconds. simply export an iphoto album to iweb to create a new photo grid. drag photos to rearrange them if needed add those pithy words then publish. whoosh. your film your way -- done easily with imovie hd 6. score your movies with powerful audio tools. imovie hd 6 riveting performances. major effects. inspired directing. amazing how imovie has changed the way people look at home movies. now with more cinematic tools to offer imovie makes you even more comfortable in the director's chair. and the editor's chair. and the special effects guy's chair. and well you get the idea. imovie is the fastest and easiest way to turn home movies into dazzling hollywood-style hits. instant theme instant classic -- imovie themes give you moviemaking power you never imagined. just click one and the fun begins. each theme contains a collection of professionally designed scenes that give your movie a personality from start to finish -- including video and graphic overlays and advanced transitions. all you have to do is drag-and-drop your movie clips and photos into the scene's drop zones type in your titles and imovie does the rest. you get the quality of a feature film. without the cost overruns. now showing: major video effects -- you'll love the new video effects made possible by mac os x core video. you'll also love the fact that you can preview the results of your video effect choices in real time. at any size. right in the main window. imovie does all the rendering in the background so you can experiment to your heart's content. or just dive right into all your other creative options without delay. the sounds of cinema -- great movies sound as amazing as they look. so imovie comes complete with a sound studio built in. summoning the power of mac os x core audio imovie offers eight new audio effects including noise reduction (perfect for squelching the noise common to home movies) reverb pitch change a handy graphic equalizer and more. and with the ilife media browser you have full access to your original garageband songs. how's that sound? video podcasts and blogs with iweb -- use imovie to share with friends family and now -- the world. imovie working hand in hand with iweb makes it easy to publish video to websites and blogs. you can even use imovie to create video podcasts complete with chapter markers and live urls. using iweb you can submit your video podcast to the itunes podcast directory where it can be seen and subscribed to by everyone. the simple powerful idvd interface. choose from stunning menu templates. idvd 6 why rent someone else's masterpiece when you can create your own? from hollywood-style home movies to multimedia wedding albums to professional slideshow portfolios idvd 6 helps you put it all on dvd. and no ordinary dvd mind you. a jaw-dropping widescreen dvd with coordinated menus and ambient audio. a dvd with thoroughly professional polish. a dvd so captivating it will make it onto everyone's must-see list. magic idvd -- idvd has always made it easy to create beautifully designed dvds. now it's beyond easy. with the magic idvd feature all you have to do is choose a theme and select the movies and photos you want to include. idvd then automatically creates a complete dvd unified in design from start to finish including menu screens movies chapter menus and slideshows. you have to see it to believe it. want to join in the magic? use magic idvd as a starting point and edit from there. create widescreen dvds -- get the most out of that gorgeous new widescreen tv. with idvd 6 you can author dvds of your movies and photo slideshows in stunning widescreen format. you can even include content from both sd and hd video sources. idvd converts everything automatically so all your dvds play back beautifully. choose new idvd themes -- idvd 6 features 10 new apple-designed themes in idvd five of which are made to match imovie themes -- and all of them are available in both widescreen (16:9) and standard (4:3) formats. each theme includes a family of a three coordinated menus: a main menu a chapter menu for scene selection and an extras menu for slideshows and other content. talent to burn -- when you're ready to burn your dvd idvd is ready too. even if you're using a third-party dvd burner. idvd has built-in support for a wide variety of dvd media formats -- including dvd-r dvd-rw dvd+r dvd+rw and dvd+r dl. so now you have more options than ever. garageband lets you make music like a pro -- all on your mac. create podcasts that make you sound like a professional host. score your imovie creations. garageband 3 the best way to record music on a mac is now the best way to record podcasts. podcasting in garageband 3 puts you in the control room of your own full-featured radio station. and new iweb integration gets your voice on the internet in minutes. podcast artwork track -- now you can add a podcast artwork track just by dragging in images from your ilife media browser. drag in a title card with the name of your podcast and a picture of you. drag in different images for each chapter marker in your podcast so your listeners can also see visual cues. just position images on the artwork track so they correspond with your vocal track. raving about that amazing unsigned band you saw last night? drag in a photo of the gig right from your iphoto library. sound effects and jingles -- give your podcast professional polish by adding in sound effects and jingles from garageband's library of more than 200 podcast sounds. browse more than 200 sound effects -- including radio-style stingers and sounds from people animals and machines -- then drag them into your podcast to sync up with your vocal track. or add some musical accompaniment to your podcast. just browse garageband's library of more than 100 jingles and drag them into your podcast in 7 15 and 30-second snippets. you can add in sound effects and jingles during post-production or trigger them during live recording. podcast radio engineer -- garageband 3 includes a few features that function like your own personal podcast radio engineer so you can create podcasts that make you sound like a professional host. a built-in speech enhancer optimizes sound for your mac gender and vocal range improving the sound of your voice and simulating a professional microphone even when you're not using one. and a dynamic ducking effect automatically reduces music volume when you speak so your listeners always hear the talk above the tunes. ichat interview recording -- use ichat and garageband to record a talk show-style podcast in the time it takes you to carry on a friendly chat -- even if your guests are on the other side of the world. garageband lets you record remote guests from an audio or video ichat conference. just start chatting and garageband simultaneously records the audio -- one track for each guest complete with buddy name and icon so you know who's saying what and when. and if you're using isight cameras to record the action garageband takes a photo snapshot of each guest every time he or she speaks. one-click iweb publishing -- finished recording your podcast? time to get it on the internet with garageband and iweb. from garageband send your podcast to iweb where you can create a new podcast series or add to an existing series. then click publish to get your podcast on the web via your .mac account. it's that easy. iweb even lets you submit your podcast to the itunes music store so you can attract new fans. imovie scoring -- the new video track in garageband makes it easy to add an original music score to your movies. and don't worry about your musical talent -- or lack thereof. just use garageband's included loops or try a combination of loops software instruments or any previous audio recordings you created. you can even use garageband to add cinematic sound effects such as footsteps and creaking doors. when you're ready save your scored imovie project as a quicktime video then send it to idvd for burning or publish it to the internet via iweb. the internet is calling. answer with iweb. choose from beautiful website templates. publish your blog quickly and easily. iweb the internet is calling. answer. use iweb to create websites and blogs -- complete with podcasts photos and movies -- and get them online fast. just drag drop and design using your choice of web templates then publish live to your .mac account. apple-designed templates -- let iweb help you build a beautiful website in minutes using apple-designed templates. just choose a website theme that fits your style. each theme offers page templates for about me photo album blog podcast and movie pages so you'll always have the perfect place for your content. use the ilife media browser to drag in your photos movies and podcasts then simply type over the placeholder text on your page template and click once to publish to .mac. ilife media browser -- every website needs content. your podcast page needs audio. your photo page needs images. your blog needs links to your favorite music. and that's why iweb needs the ilife media browser. using the media browser you can access all your ilife content -- photos video audio -- without leaving iweb. drag in the podcast or song you recorded in garageband earlier today. or the iphoto album of your vacation. or your latest imovie project. whatever you want to share you'll find it in the ilife media browser. blogging -- use iweb to start your own weblog and add new entries as easily as writing an email. choose a blog template type in your own text and drag in photos from the ilife media browser. iweb takes care of everything else setting up navigation for your blog creating a summary page and adding an entry archive. iweb also handles the rss feed for your blog so anyone can subscribe. and when you're done adding an entry just one click publishes your blog via .mac. podcasting -- when it comes time to take your podcasts live iweb gives you a simple stylish way to do it. either send your podcast to iweb from garageband or start in iweb with a podcast page template and drag your podcast in from the ilife media browser. type over placeholder text to add a brief description of your podcast then click once to publish it to the internet using your .mac account. iweb takes care of the rss feed for your podcast and lets you submit podcasts to the itunes music store where anyone can listen and subscribe. one-click .mac publishing -- sharing your website with the world is now one-click simple. with iweb and a .mac membership you can publish your entire website -- complete with blog entries photo albums links to photocasts movies and podcasts -- to the internet in a single click. no configuration no hassle. just click publish and iweb automatically publishes your entire site to the internet where anyone with a web browser can see it. iweb even lets you announce your website via email so friends and family stay in the loop.,apple computer,79,"['apple', 'ilife', '06', 'mac', 'dvd', 'older', 'version', 'apple', 'computer']"
b00007kh02,extensis intellihance pro 4.x win/mac,extensis intellihance pro 4 quickly and dynamically enhances images to make themlook their best. compare and print up to 25 professional enhancement variations at once. photoshop users have long preferred intellihance pro for color correcting and enhancing images. intellihance pro automatically analyzes and corrects images from any source including digital cameras flatbed and drum scanners or original digital artwork. mac os x and photoshop cs compatible intellihance pro 4.1 adds full support and compatibility for photoshop cs (v. 8.0) and mac os x panther (v. 10.3.1). fix images intelligently intellihance pro's award-winning technology analyzes and corrects each image individually for contrast and brightness saturation sharpness dust and scratches color cast and more. fix multiple images automatically intellihance pro is as easy as a simple click. use the quick enhance preset to analyze and fix an image with one click. its batch processing capabilities fix a whole folder of images just as easily. visually adjust your images the power variations mode lets you interactively and visually adjust your images. quickly change the incremental variance for adjusting your image. fine tune images for precise adjustment the fine tune mode lets you manually adjust your settings. compare settings onscreen preview a single image split or repeated across 5 rows and columns,extensis corporation,199.99,"['extensis', 'intellihance', 'pro', '4', 'x', 'win', 'mac', 'extensis', 'corporation']"
b000saufpw,dk amazing animals 1.1,meet your cd host henry a delightful 3-d animated lizard who will lead you through the wonderful world of the animal kingdom! the amazing animal expert notebook is packed with photos maps sounds and amazing animal facts. hear the snap and snarl of a bobcat and discover how fast a school of deadly piranha can strip an animal to the bone. pop-up windows explain and pronounce unfamiliar words. need some amazing animal postcards? how about some writing paper and envelopes? you'll find them in the toy box along with labels cards invitations and nearly a dozen masks to download from henry himself to a winsome chimp to a fierce-looking shark. in thirty animal movies you'll see the natural habitat of exotic animals like sea horses and bloating toads. play animal photographer and snap pictures of them while compiling your animal expert scrapbook of information. learn enough and play the animal facts quiz to earn reward stickers which you can add to your scrapbook!,global software publishing,9.99,"['dk', 'amazing', 'animals', '1', '1', 'global', 'software', 'publishing']"
b000v7vz1u,onone essentials for adobe photoshop elements version 2 - full,,onone software,59.95,"['onone', 'essentials', 'for', 'adobe', 'photoshop', 'elements', 'version', '2', 'full', 'onone', 'software']"
b00006hvvo,upg sgms 1000 incremental node,today enterprises and service providers face increasing security challenges in their distributed networks from security and virus attacks to enforcing security policies. as a distributed network grows and branches into multiple subnetworks linked by the internet so does the complexity of managing security appliances security policies and updates. a single flaw in security implementation at any point in the network can expose the entire infrastructure allowing malicious access to important data and files with severe consequences. managing security for distributed networks on a site-by-site basis is time consuming expensive and unreliable putting a big strain on already limited resources. sonicwall global management system (sonicwall gms) standard edition enables distributed enterprises and service providers to manage thousands of sonicwall internet security appliances from a central location with a powerful flexible and intuitive application. sonicwall gms delivers a cost-effective global security management solution that reduces staffing requirements speeds up deployment and lowers the cost of managing security services. sonicwall gms gives administrators the integrated tools to manage all security policies and services throughout a large-scale multiple policy enterprise or service provider environment. administrators can easily configure sonicwall firewall settings deploy vpn to any user and add sonicwall upgrade and subscription services such as gateway anti-virus anti-spyware and intrusion prevention service complete anti-virus and content filtering service with the click of a button.,sonic systems inc.,0,"['upg', 'sgms', '1000', 'incremental', 'node', 'sonic', 'systems', 'inc']"
b0000vyk1o,power director 3,powerdirector 3 - it's everything you need to enhance your camcorder videos! turn simple home movies into high-quality productions with the suite of editing tools included here. svrt ii dv quickscan for faster scanning and rendering of digital video burn your recordings right to cd or dvd with the easy authoring program dolby digital & ac3 decoding support for better audio and even soundtracks,avanquest publishing usa inc.,79.95,"['power', 'director', '3', 'avanquest', 'publishing', 'usa', 'inc']"
b000jx1kma,aircraft power pack for ms flight simulator,aircraft powerpack includes wings of power: heavy bombers and jets originally released for microsoft flight simulator 2004 and now compatible with microsoft flight simulator x and firepower for microsoft combat flight simulator 3. fly the famous heavy bombers of wwii and the ingenious german jet technology that opposed them,red mile,29.99,"['aircraft', 'power', 'pack', 'for', 'ms', 'flight', 'simulator', 'red', 'mile']"
b000licg1m,power production storyboard artist 4,with storyboard artist 4 you can create professional-quality digital storyboards easily. designed for media-savvy creatives to deliver more control and flexibility to smooth the creative process through production and post. whether you make a feature film or a corporate presentation storyboarding helps you visualize what you want to create. filmmakers television producers advertising creatives game developers dvd and interactive tv designers and educators all can previsualize with storyboard artist. timeline creates animatic projects automatically as you develop your storyboards: add sound and motion to your storyboards create libraries for easy access to custom and frequently usedimages - logos location photos custom characters custom page layout to create the perfect storyboard template tons of pre-made easy access content to create storyboards quickly choose right aspect ratio for your product whether it's for tv hdtv widescreen european feature or something custom import and edit multiple tracks of sound including mp3s export directly to final cut pro avid nle's quicktime & flash - create edl's shot lists and frame file series - even export to html for web publishing,power production,0,"['power', 'production', 'storyboard', 'artist', '4', 'power', 'production']"
