,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,LOT,BLOCK,PLAN,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,HOUSE_PRICE
126521,007-196-148,LAND,646022360000,64602236,RS-1,One Family Dwelling,E,145,18301,540,,4548.0,7TH AVE W,V6R 1X3,LOT E  BLOCK 145  PLAN 18301  DISTR,ICT LOT 540  NWD OF LOT 4.,,,,2017000.0,150000.0,2020.0,2349000.0,151000.0,1984.0,1985.0,,1,2.167
27309,014-980-533,LAND,604265940000,60426594,RS-7,One Family Dwelling,12,135,VAP1090,264A,,2294.0,NAPIER ST,V5L 2P2,LOT 12  BLOCK 135  PLAN VAP1090  DI,STRICT LOT 264A  NWD OF LOT B & PL ,1771.,,,1280000.0,35200.0,2020.0,1380000.0,39400.0,1926.0,1965.0,,14,1.3152
167848,010-256-679,LAND,631296670000,63129667,RS-1,One Family Dwelling,19,80,VAP8174,THSL,,3267.0,2ND AVE E,V5M 1G2,LOT 19  BLOCK 80  SECTION 30  PLAN ,VAP8174  DISTRICT LOT THSL  NEW WES,TMINSTER,,,1290000.0,44300.0,2020.0,1481000.0,44000.0,1951.0,1951.0,,21,1.3343
110182,029-083-656,STRATA,280631050040,28063105,C-2C1,Commercial,40,47,EPS1418,THSL,315,2888.0,2ND AVE E,V5M 0B9,LOT 40  BLOCK 47  SECTION 32  PLAN ,EPS1418  DISTRICT LOT THSL  NWD TOG,ETHER WITH AN INTEREST IN THE COMMO,N PROPERTY IN PROPORTION TO THE UNI,T ENTITLEMENT OF THE STRATA LOT AS ,289000.0,139000.0,2020.0,335000.0,139000.0,2013.0,2013.0,,21,0.428
168067,024-593-192,STRATA,309770550012,30977055,CD-1 (351),Comprehensive Development,12,,LMS3991,37,,5677.0,SENLAC ST,V5R 6G8,LOT 12  PLAN LMS3991  DISTRICT LOT ,37  NEW WESTMINSTER UNDIV 1219/3764,4 SHARE IN COM RPOP THEREIN.,,,309000.0,232000.0,2020.0,342000.0,235000.0,1999.0,1999.0,,24,0.541
108323,025-756-494,STRATA,115573060184,11557306,CD-1 (312),Comprehensive Development,184,,BCS535,185,906,499.0,BROUGHTON ST,V6G 3K1,"STRATA LOT 184, PLAN BCS535, DISTRI","CT LOT 185, NEW WESTMINSTER LAND DI","STRICT, OF THE PHBI, TOGETHER WITH ",AN INTEREST IN THE COMMON PROPERTY ,IN PROPORTION TO THE UNIT ENTITLEME,863000.0,295000.0,2020.0,976000.0,298000.0,2003.0,2003.0,,28,1.158
59130,030-427-037,STRATA,170825850322,17082585,CD-1 (577),,322,,EPS4185,311,2801,8189.0,CAMBIE ST,V6P 0G6,LOT 322  PLAN EPS4185  DISTRICT LOT," 311  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,561000.0,398000.0,2020.0,687000.0,400000.0,2017.0,2017.0,,12,0.959
24393,028-609-514,STRATA,650184980026,65018498,C-3A,Commercial,26,,BCS4127,302,307,2511.0,QUEBEC ST,V5T 0B6,LOT 26  PLAN BCS4127  DISTRICT LOT ,"302  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,362000.0,228000.0,2020.0,371000.0,230000.0,2011.0,2011.0,,13,0.59
77525,027-671-500,STRATA,604165090103,60416509,CD-1 (422),Comprehensive Development,103,,BCS3127,FC,2005,33.0,SMITHE ST,V6B 0B5,LOT 103  PLAN BCS3127  DISTRICT LOT, FC  NWD TOGETHER WITH AN INTEREST ,IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT.,,675000.0,301000.0,2020.0,770000.0,305000.0,2008.0,2008.0,,30,0.976
121965,026-228-998,STRATA,720315930025,72031593,CD-1 (314),Comprehensive Development,25,,BCS1208,36,211,3663.0,CROWLEY DR,V5R 6H4,LOT 25  PLAN BCS1208  DISTRICT LOT ,36  NEW WESTMINSTER GROUP 1.,,,,261000.0,139000.0,2020.0,310000.0,141000.0,2005.0,2005.0,,23,0.4
174780,023-430-362,STRATA,172580670042,17258067,HA-2,Historic Area,42,,LMS2412,OGT,705,233.0,ABBOTT ST,V6B 2K7,LOT 42  PLAN LMS2412  DISTRICT LOT ,OGT  NEW WESTMINSTER UNDIV 703/3188,9 SHARE IN COM PROP THEREIN.,,,478000.0,137000.0,2020.0,506000.0,139000.0,1911.0,1996.0,,26,0.615
78656,030-740-363,STRATA,170717020074,17071702,CD-1 (585),,74,741,EPS4933,526,303,4488.0,CAMBIE ST,V5Y 0M2,LOT 74  BLOCK 741  PLAN EPS4933  DI,STRICT LOT 526  NWD  BCAGROUP 1 TOG,ETHER WITH AN INTEREST IN THE COMMO,N PROPERTY IN PROPORTION TO THE UNI,T ENTITLEMENT OF THE STRATA LOT AS ,1071000.0,439000.0,2020.0,822516.0,615253.0,,,,9,1.51
77185,017-871-701,LAND,150813210000,15081321,RM-8N,,R,1001,LMP5668,526,,7509.0,OAK ST,V6P 4A4,LOT R  BLOCK 1001  PLAN LMP5668  DI,STRICT LOT 526  NWD OF LOT 6.,,,,1323000.0,243000.0,2020.0,1532000.0,240000.0,1993.0,1993.0,,12,1.566
133423,010-898-182,LAND,683020140000,68302014,RS-1,One Family Dwelling,3,159,VAP6364,540,,4688.0,13TH AVE W,V6R 2V7,LOT 3  BLOCK 159  PLAN VAP6364  DIS,TRICT LOT 540  NWD OF LOT 4.,,,,2521000.0,36500.0,2020.0,2982000.0,32000.0,1940.0,1940.0,,1,2.5575
