,order_id,user_id,order_time
0,2539329,1,2015-01-01 08:00:00
1,2398795,1,2015-01-16 15:00:00
2,473747,1,2015-02-07 03:00:00
3,2254736,1,2015-03-08 10:00:00
11,2168274,2,2015-01-01 11:00:00
12,1501582,2,2015-01-11 21:00:00
13,1901567,2,2015-01-15 07:00:00
14,738281,2,2015-01-23 17:00:00
15,1673511,2,2015-02-01 04:00:00
16,1199898,2,2015-02-14 13:00:00
17,3194192,2,2015-03-01 01:00:00
26,1374495,3,2015-01-01 14:00:00
27,444309,3,2015-01-11 09:00:00
28,3002854,3,2015-02-02 01:00:00
29,2037211,3,2015-02-22 19:00:00
30,2710558,3,2015-03-07 12:00:00
39,3343014,4,2015-01-01 11:00:00
40,2030307,4,2015-01-20 22:00:00
41,691089,4,2015-02-11 13:00:00
42,94891,4,2015-02-27 02:00:00
43,2557754,4,2015-02-27 15:00:00
45,2717275,5,2015-01-01 12:00:00
46,1909121,5,2015-01-13 04:00:00
47,2267326,5,2015-01-23 22:00:00
48,157374,5,2015-02-12 16:00:00
49,2196797,5,2015-02-19 03:00:00
50,2086598,6,2015-01-01 18:00:00
51,298250,6,2015-01-08 10:00:00
52,998866,6,2015-01-21 04:00:00
53,1528013,6,2015-02-12 20:00:00
54,2565571,7,2015-01-01 09:00:00
55,2402008,7,2015-02-01 04:00:00
56,121053,7,2015-03-03 22:00:00
57,1695742,7,2015-03-13 08:00:00
75,600894,8,2015-01-01 00:00:00
76,2979257,8,2015-01-31 08:00:00
77,2570360,8,2015-03-02 08:00:00
78,880375,8,2015-03-12 22:00:00
79,280530,9,2015-01-01 17:00:00
80,2762092,9,2015-01-08 07:00:00
81,1830137,9,2015-02-07 19:00:00
82,1094988,9,2015-03-10 05:00:00
83,1224907,10,2015-01-01 14:00:00
84,68288,10,2015-02-01 05:00:00
85,2115522,10,2015-02-14 00:00:00
86,83395,10,2015-02-28 15:00:00
89,2411567,11,2015-01-01 11:00:00
90,1170872,11,2015-01-13 22:00:00
91,2840752,11,2015-01-28 08:00:00
92,1611810,11,2015-02-27 21:00:00
97,1483446,12,2015-01-01 12:00:00
98,1247527,12,2015-01-31 21:00:00
99,1916106,12,2015-02-15 05:00:00
100,1057378,12,2015-03-13 14:00:00
103,2618231,13,2015-01-01 12:00:00
104,2560699,13,2015-01-09 23:00:00
105,2288946,13,2015-01-16 20:00:00
106,19256,13,2015-01-26 08:00:00
107,1378982,13,2015-02-01 21:00:00
108,2363981,13,2015-02-09 15:00:00
109,1906169,13,2015-02-16 23:00:00
110,1757094,13,2015-03-02 17:00:00
111,519471,13,2015-03-10 10:00:00
116,2906263,14,2015-01-01 18:00:00
117,3206747,14,2015-02-01 02:00:00
118,1366559,14,2015-02-03 16:00:00
119,1385564,14,2015-02-24 00:00:00
130,2514324,15,2015-01-01 13:00:00
131,3135826,15,2015-01-17 01:00:00
132,2564002,15,2015-01-24 13:00:00
133,714991,15,2015-02-10 00:00:00
134,3317979,15,2015-02-27 15:00:00
135,876095,15,2015-03-08 02:00:00
153,1273676,16,2015-01-01 08:00:00
154,875885,16,2015-01-21 21:00:00
155,1491849,16,2015-02-12 17:00:00
156,2704482,16,2015-02-25 07:00:00
160,1737705,17,2015-01-01 13:00:00
161,1681401,17,2015-01-04 23:00:00
162,2680214,17,2015-01-10 09:00:00
163,3197376,17,2015-01-15 23:00:00
164,3237467,17,2015-01-21 16:00:00
165,2616505,17,2015-01-27 09:00:00
166,2648319,17,2015-01-31 22:00:00
167,2430354,17,2015-02-07 13:00:00
168,2373492,17,2015-02-11 02:00:00
169,900554,17,2015-02-15 17:00:00
170,805025,17,2015-02-20 08:00:00
171,912404,17,2015-02-25 22:00:00
172,1389057,17,2015-03-04 11:00:00
173,603534,17,2015-03-10 04:00:00
174,2660930,17,2015-03-13 20:00:00
201,2780889,18,2015-01-01 18:00:00
202,3106101,18,2015-01-03 11:00:00
203,1860960,18,2015-01-12 06:00:00
204,3133044,18,2015-01-18 22:00:00
205,1020460,18,2015-01-28 14:00:00
206,441977,18,2015-02-02 02:00:00
207,2461523,18,2015-02-09 11:00:00
208,1321974,19,2015-01-01 13:00:00
209,2293453,19,2015-01-08 03:00:00
210,2208892,19,2015-01-24 17:00:00
211,2808909,19,2015-01-30 05:00:00
212,1973799,19,2015-02-07 17:00:00
213,2474845,19,2015-02-28 06:00:00
214,532817,19,2015-03-06 23:00:00
215,2483716,19,2015-03-14 03:00:00
